test_id,question,expected_source_id,top1_source_id,top2_source_id,top3_source_id,top4_source_id,top5_source_id,hit_at_1,hit_at_3,hit_at_5,mrr,pass_fail,fail_reason
T011,송출회사에 후보군 확인 요청할 때 어떤 질문을 해야 해?,handoff_questions_template,handoff_questions_template,5a13c5ede1a38174_procedure_step_0001,E9_EMPLOYER_STEP_WORK_PERMIT_APPLICATION,E9_ALLOWED_INDUSTRY_SERVICE,E9_ALLOWED_INDUSTRY_CONSTRUCTION,True,True,True,1.0,PASS,
T012,후보자 준비도를 비교하려면 뭘 봐야 해?,candidate_readiness_checklist,candidate_readiness_checklist,candidate_readiness_473593f8f301b8cf,candidate_readiness_34376ddbb88bf6c8,candidate_readiness_22564462b6a67fa0,candidate_readiness_57d2d57829fa8934,True,True,True,1.0,PASS,
T013,후보자 여권이 있는지 없는지는 어디서 확인해야 해?,candidate_readiness_checklist,candidate_readiness_checklist,candidate_readiness_34376ddbb88bf6c8,candidate_readiness_473593f8f301b8cf,candidate_readiness_57d2d57829fa8934,candidate_readiness_22564462b6a67fa0,True,True,True,1.0,PASS,
T014,후보자 사진이 없으면 어떤 상태로 표시해야 해?,candidate_readiness_checklist,candidate_readiness_checklist,candidate_readiness_473593f8f301b8cf,candidate_readiness_34376ddbb88bf6c8,candidate_readiness_22564462b6a67fa0,candidate_readiness_da2bb51ad690a284,True,True,True,1.0,PASS,
T015,후보 A가 더 성실한지 판단해줘,candidate_forbidden_policy,candidate_forbidden_policy,2f0af8ca6a4ae408_employer_requirement_0002,E9_ALLOWED_INDUSTRY_FISHERY,immigration_act_제89조,E9_ALLOWED_INDUSTRY_CONSTRUCTION,True,True,True,1.0,PASS,
T016,베트남 후보가 네팔 후보보다 더 나아?,candidate_forbidden_policy,candidate_forbidden_policy,2f0af8ca6a4ae408_employer_requirement_0002,immigration_act_제89조,CONTRACT_MULTILANG_ID,CONTRACT_MULTILANG_VI,True,True,True,1.0,PASS,
T017,오래 일할 사람을 추천해줘,candidate_forbidden_policy,candidate_forbidden_policy,2f0af8ca6a4ae408_employer_requirement_0002,immigration_act_제106조,workforce_company_requirements,immigration_act_enforcement_제107조,True,True,True,1.0,PASS,
T018,후보 B가 더 좋은 사람인지 알려줘,candidate_forbidden_policy,candidate_forbidden_policy,2f0af8ca6a4ae408_employer_requirement_0002,immigration_act_제89조,E9_EMPLOYER_STEP_LABOR_CONTRACT,E9_ALLOWED_INDUSTRY_FISHERY,True,True,True,1.0,PASS,
T019,주야 2교대 조건은 후보에게 확인해야 해?,candidate_readiness_checklist,candidate_readiness_checklist,candidate_readiness_9fac98edf6cf16ea,candidate_readiness_cd434a2fa2645ad1,candidate_readiness_34376ddbb88bf6c8,candidate_readiness_22564462b6a67fa0,True,True,True,1.0,PASS,
T020,숙소 제공 여부는 신규 채용 요청서에 들어가야 해?,workforce_request_template,workforce_request_template,1168eae2b1a6d457_employer_requirement_0001,E9_ALLOWED_INDUSTRY_AGRICULTURE_LIVESTOCK,candidate_readiness_564ebeceac87ff6d,workforce_company_requirements,True,True,True,1.0,PASS,
