template_id,purpose,source_language,target_language,country_code,korean_text,translated_text,required_fields,approval_required,source_id,review_status,notes
housing_notice_vi,housing_notice,ko,vi,VN,"{notice_title} 숙소 공지사항을 확인해 주세요. 적용일은 {effective_date}입니다. 이 안내는 {privacy_purpose} 목적으로 제공되며, 문의는 {contact_person}에게 해주세요.","Vui lòng kiểm tra thông báo chỗ ở: {notice_title}. Ngày áp dụng là {effective_date}. Thông báo này được cung cấp cho mục đích {privacy_purpose}. Nếu có câu hỏi, vui lòng liên hệ {contact_person}.",worker_name|notice_title|effective_date|privacy_purpose|contact_person,true,templates_messages,draft,1순위 베트남어 end-to-end 초안. 사람 검수 후 사용
housing_notice_id,housing_notice,ko,id,ID,"{notice_title} 숙소 공지사항을 확인해 주세요. 적용일은 {effective_date}입니다. 이 안내는 {privacy_purpose} 목적으로 제공되며, 문의는 {contact_person}에게 해주세요.","Harap periksa pemberitahuan tempat tinggal: {notice_title}. Tanggal berlaku adalah {effective_date}. Pemberitahuan ini diberikan untuk tujuan {privacy_purpose}. Jika ada pertanyaan, hubungi {contact_person}.",worker_name|notice_title|effective_date|privacy_purpose|contact_person,true,templates_messages,draft,2순위 인도네시아어 메시지 생성 시연 초안. 사람 검수 후 사용
msg_passport_request_vi,passport_request,ko,vi,VN,비자 업무 확인을 위해 여권 사본이 필요합니다. {due_date}까지 사진으로 보내주세요. 수집한 서류는 체류·고용 관련 행정 업무 확인 목적으로만 사용됩니다. 문의사항은 {contact_person}에게 확인해주세요.,"Vui lòng gửi ảnh chụp bản sao hộ chiếu trước ngày {due_date}. Tài liệu này chỉ được sử dụng để kiểm tra các thủ tục hành chính liên quan đến cư trú và việc làm. Nếu có thắc mắc, vui lòng liên hệ {contact_person}.","worker_name,due_date,privacy_purpose,contact_person",true,templates_messages,needs_human_review,MVP 베트남어 서비스용. 개인정보/서류 요청이므로 담당자 승인 전 발송 금지.
msg_passport_request_id,passport_request,ko,id,ID,비자 업무 확인을 위해 여권 사본이 필요합니다. {due_date}까지 사진으로 보내주세요. 수집한 서류는 체류·고용 관련 행정 업무 확인 목적으로만 사용됩니다. 문의사항은 {contact_person}에게 확인해주세요.,"Harap mengirimkan foto salinan paspor sebelum tanggal {due_date}. Dokumen ini hanya akan digunakan untuk memeriksa administrasi terkait izin tinggal dan pekerjaan. Jika ada pertanyaan, silakan hubungi {contact_person}.","worker_name,due_date,privacy_purpose,contact_person",true,templates_messages,needs_human_review,MVP 인도네시아어 서비스용. 개인정보/서류 요청이므로 담당자 승인 전 발송 금지.
msg_photo_request_vi,photo_request,ko,vi,VN,행정 업무 확인을 위해 증명사진 파일이 필요합니다. {due_date}까지 사진 파일을 보내주세요. 사진은 체류·고용 관련 행정 업무 확인 목적으로만 사용됩니다. 문의사항은 {contact_person}에게 확인해주세요.,"Vui lòng gửi tệp ảnh thẻ trước ngày {due_date} để kiểm tra thủ tục hành chính. Ảnh này chỉ được sử dụng cho các thủ tục hành chính liên quan đến cư trú và việc làm. Nếu có thắc mắc, vui lòng liên hệ {contact_person}.","worker_name,due_date,privacy_purpose,contact_person",true,templates_messages,needs_human_review,MVP 베트남어 서비스용. 증명사진은 개인정보성 자료이므로 담당자 승인 전 발송 금지.
msg_photo_request_id,photo_request,ko,id,ID,행정 업무 확인을 위해 증명사진 파일이 필요합니다. {due_date}까지 사진 파일을 보내주세요. 사진은 체류·고용 관련 행정 업무 확인 목적으로만 사용됩니다. 문의사항은 {contact_person}에게 확인해주세요.,"Harap mengirimkan file pas foto sebelum tanggal {due_date} untuk keperluan administrasi. Foto ini hanya akan digunakan untuk administrasi terkait izin tinggal dan pekerjaan. Jika ada pertanyaan, silakan hubungi {contact_person}.","worker_name,due_date,privacy_purpose,contact_person",true,templates_messages,needs_human_review,MVP 인도네시아어 서비스용. 증명사진은 개인정보성 자료이므로 담당자 승인 전 발송 금지.
msg_arc_request_vi,arc_request,ko,vi,VN,체류·고용 관련 행정 업무 확인을 위해 외국인등록증 사본이 필요합니다. {due_date}까지 앞면과 뒷면 사진을 보내주세요. 수집한 서류는 행정 업무 확인 목적으로만 사용됩니다. 문의사항은 {contact_person}에게 확인해주세요.,"Để kiểm tra thủ tục hành chính liên quan đến cư trú và việc làm, vui lòng gửi ảnh chụp mặt trước và mặt sau của thẻ đăng ký người nước ngoài trước ngày {due_date}. Tài liệu này chỉ được sử dụng cho mục đích kiểm tra hành chính. Nếu có thắc mắc, vui lòng liên hệ {contact_person}.","worker_name,due_date,privacy_purpose,contact_person",true,templates_messages,needs_human_review,MVP 베트남어 서비스용. 외국인등록증 요청은 민감한 서류 요청이므로 담당자 승인 전 발송 금지.
msg_arc_request_id,arc_request,ko,id,ID,체류·고용 관련 행정 업무 확인을 위해 외국인등록증 사본이 필요합니다. {due_date}까지 앞면과 뒷면 사진을 보내주세요. 수집한 서류는 행정 업무 확인 목적으로만 사용됩니다. 문의사항은 {contact_person}에게 확인해주세요.,"Untuk memeriksa administrasi terkait izin tinggal dan pekerjaan, harap mengirimkan foto bagian depan dan belakang kartu registrasi orang asing sebelum tanggal {due_date}. Dokumen ini hanya digunakan untuk keperluan administrasi. Jika ada pertanyaan, silakan hubungi {contact_person}.","worker_name,due_date,privacy_purpose,contact_person",true,templates_messages,needs_human_review,MVP 인도네시아어 서비스용. 외국인등록증 요청은 민감한 서류 요청이므로 담당자 승인 전 발송 금지.
msg_safety_training_notice_vi,safety_training_notice,ko,vi,VN,안전교육 참석 안내입니다. {training_date}에 안전교육이 있습니다. 교육 장소는 {training_location}입니다. 작업 전 안전수칙과 보호구 착용 안내를 꼭 확인해주세요. 문의사항은 {contact_person}에게 확인해주세요.,"Đây là thông báo tham gia đào tạo an toàn. Buổi đào tạo sẽ được tổ chức vào ngày {training_date} tại {training_location}. Vui lòng kiểm tra kỹ các quy tắc an toàn và hướng dẫn sử dụng đồ bảo hộ trước khi làm việc. Nếu có thắc mắc, vui lòng liên hệ {contact_person}.","worker_name,training_date,training_location,contact_person",true,kosha_manufacturing_safety_vi,needs_human_review,KOSHA 베트남어 안전교육 자료 기반. 안전 관련 안내이므로 담당자 승인 전 발송 금지.
msg_safety_training_notice_id,safety_training_notice,ko,id,ID,안전교육 참석 안내입니다. {training_date}에 안전교육이 있습니다. 교육 장소는 {training_location}입니다. 작업 전 안전수칙과 보호구 착용 안내를 꼭 확인해주세요. 문의사항은 {contact_person}에게 확인해주세요.,"Ini adalah pemberitahuan untuk mengikuti pelatihan keselamatan. Pelatihan akan diadakan pada {training_date} di {training_location}. Harap memeriksa aturan keselamatan dan panduan penggunaan alat pelindung sebelum bekerja. Jika ada pertanyaan, silakan hubungi {contact_person}.","worker_name,training_date,training_location,contact_person",true,kosha_manufacturing_safety_id,needs_human_review,KOSHA 인도네시아어 안전교육 자료 기반. 안전 관련 안내이므로 담당자 승인 전 발송 금지.
msg_counseling_center_guide_vi,counseling_center_guide,ko,vi,VN,근로·생활 관련 어려움이 있으면 외국인력상담센터 1577-0071 또는 담당자 {contact_person}에게 문의할 수 있습니다. 긴급한 상황이면 즉시 담당자에게 알려주세요.,"Nếu bạn gặp khó khăn liên quan đến công việc hoặc cuộc sống tại Hàn Quốc, bạn có thể liên hệ Trung tâm tư vấn lao động nước ngoài theo số 1577-0071 hoặc liên hệ {contact_person}. Nếu là tình huống khẩn cấp, hãy báo ngay cho người phụ trách.","worker_name,contact_person",true,hrdk_foreign_workforce_counseling_center,needs_human_review,공식 상담 채널 안내. 법적 확답이 아니라 문의처 안내로만 사용.
msg_counseling_center_guide_id,counseling_center_guide,ko,id,ID,근로·생활 관련 어려움이 있으면 외국인력상담센터 1577-0071 또는 담당자 {contact_person}에게 문의할 수 있습니다. 긴급한 상황이면 즉시 담당자에게 알려주세요.,"Jika Anda mengalami kesulitan terkait pekerjaan atau kehidupan di Korea, Anda dapat menghubungi Pusat Konsultasi Tenaga Kerja Asing di nomor 1577-0071 atau menghubungi {contact_person}. Jika situasinya darurat, segera beri tahu penanggung jawab.","worker_name,contact_person",true,hrdk_foreign_workforce_counseling_center,needs_human_review,공식 상담 채널 안내. 법적 확답이 아니라 문의처 안내로만 사용.
